Sentiment,Text
pos,"Melalui riset terbaru LD, ekosistem Gojek dan GoTo Financial tercatat memberikan kontribusi sebesar Rp249 triliun atau setara 1,6% PDB Indonesia di tahun 2021. 

Jika dibandingkan dgn hasil riset LD UI tahun 2020 lalu, kontribusi ini mengalami peningkatan sebesar 60%.

#ldfebui https://t.co/z2i9YEaPp5"
pos,nanggepin abang gojek genit sambil pilek capek banget anjg
pos,@svteen_9yu gojek
pos,@woonoot SIAAAAAAAAAL MAMANG GOJEK
pos,RT @huhjeno: wtb renjun gojek boom tolong dm tks ??⁉️
neg,@deepdarkvira @gojekindonesia Ga ngerti vir ni darimana untung si gojek nya ??
neg,"@twitkocheng Makan, tidor, main, gangguin org, santai bet monyet..."
neg,"@indomyfess bukannya ga pede sih nder, setiap book gojek sering dikira mas2 grgr namaku kyk cowo pas ketemu abang gojeknya awkward diem2an????"
pos,"Papah nya lagi gojek, di kirimin photo anak nya lagi main langsung otw pulang kata nya wkwk ????"
pos,"@lamputenda @Skincare_IDN Gostore kak by gojek, dm aja buat tanya2☺"
pos,"@bosmekdi Hai Kak, jika Anda ingin menggunakan akun yang sama, maka Anda bisa mengajukan perubahan data (nomor tlp) dengan mengirimkan email ke customerservice@gojek.com menggunakan alamat email Anda yang terdaftar di aplikasi Gojek. Terima kasih^yni"
neg,@gofoodindonesia Hmmm mls bgt pake gojek udh bertaun2 tp ga pernh dapet promo gofood??
pos,@rivaiackerman kaya abang gojek kaga si? sesuai posisi deksay?
neg,"Walaupun gak naik motor keknya emang harus beli jas ujan deh, kmaren sempet punya malah gue kasihin ke org karna ya buat apa gitu -_- skarang malah pas naek gojek malah neduh hampir dua jam -_-"
pos,@vkookssky Tinggal naek gojek cuss tapi buat beli tiketnya yg nabung duluu ??
neg,GOBLOOOOK GUE MAU PESEN MAKAN BUKAN GOJEK AJG
neg,"gue mau cerita. tadi pas mau berangkat latian gue udh badmood bgt gara2 org rmh trs alhasil nangis di gojek. gue jg blm makan siang, akhirnya beli roti satu sama susu:( trs pas dimakan KAGA ADA COKLATNYA ANJRIT GUE MAKIN NANGIS yhh mksie sari roti??inimah gue makan roti tawar https://t.co/tQ1xNaxMwf"
pos,@hanbinraise biasany ak naik gojek ashuwww
pos,@Inisuhes Semoga di berikan kesehatan buat bapak kamu dan di berikan rezeki yg lancar buat bapak gojek nya ??
neg,2 kali gw naik gojek masih dikira anak sekolahan??
pos,@soongyuwonji iyaa gopay di gojek beb
pos,"RT @YoGojekYo: Terima kasih @gojekindonesia buat hadiah gopay, voucher sembako, makan & bensin.
Tolong diperbanyak program Swadaya u/ mitra…"
neg,"Da 2 hari sakit bela""in gojek, 
Akhirnya tepar juga, 
Sedih bgt koq lemah bgt, 
Ga mau sakit, 
Ada 4 anak"" Ku yg harus ku perjuangan kan..... 
Semoga Aku bs beraktivitas kembali, Amin ??"
pos,@FOOD_FESS nderrrrr bisa gojek/grab gaaa????????
neg,@hanbinysl Masalahnya gojek di kota aku tuh jarang ada yang mau kalo lebih dari 7km ??
pos,Apple music pake gopay gmna?? Gopay di gojek kan?? Ga pake app lagi? Soapnya gopay aku nomernya udah ga aktif
pos,"@gojekindonesia halo min, cara hapus akun gojek yg lupa nomor telepon tapi email masih ada akses gimana ya? emailnya mau dipake di akun gojek yg sekarang soalnya"
pos,"Bayar tepat waktu adalah koentji kalau lo pakai gojek paylater! Beneran deh, fiture ini ngelatih gue buat disiplin ngatur keuangan. Dan seneng banget selama ini gak pernah telat bayar"
neg,"gojek kenapa sih, dapet driver jauh udah gitu lama banget gofoodnya dari konfirmasi resto ke nyari drivernya tuh lamaa"
neg,"diajak ngomong sama abang gojek cm ""hah"" ""hahaha iyaa bang"" ""iya bang bener"" pdhl ga kedengeran ??"
pos,@TXTdariHunter gojek apa grab
pos,"Dari tangsel ke jkt ga perlu pake gojek kalo berangkat... Cukup pake krl aja, nah kalo pulangnya gpp pake Go-Jek https://t.co/aMdugsQCBJ"
pos,@Inisuhes Sehat2 buat bapak gojek dan papa u kak??
pos,"️️ ️️

Voucher GOJEK 

GoFood 30% minbel 25k 

?? 2k/voc
?? belum gofood plus 
?? ada saldo gopay
?? bisa payment pakai selain gopay
?? bisa cek harga dulu 

#zonauang 
️️ ️️ ️️ ️️ https://t.co/SgDdhdya0b"
pos,@gblhmasuk itu bapak gojek
pos,"Gojek bisa dititipin ke indooktober ga ya :"""
pos,"@taelalisareace berapa km juga bisa kak asal gojek nya mau ngambil, 10km masih bisa"
pos,@ubinkampus Diskon janjiw sama gojek kayaknya. Mama yang beli.
pos,"@seahie @busybreath Tuh biasa yg gojek SM toped baru kak, kyk akun mama saya , klo yg lama GX dpt segitu"
pos,"@akubii0 @bertanyarl kalo ayah ku driver gojek, jadi bisa aja buat antar jemput. sebenernya bisa juga kalo ngendarain motor sendiri ke sekolah, tapi aing ga bisa ngendarainnya. gada motor lagi juga"
pos,Max pesen makanan di gojek tuh berapa km sih?
pos,"@baseumum Semua ada kek gitu, gojek sopifud jg ada"
pos,@dalemontrose KEK JAKET GOJEK GRAB GASI GUSTI T_T
pos,"Gw tiap hari nguririn dokumen buat perusahaan gw. Melawan panas, ujan, lumpur, truk dan pengendara2 Jakarta bodoh. Tp bukannya gw dikadih bonus atau apa, malah yg ada gw dipotong gajinya cuma masalah lupa absen fingerprint dsb. Mending gw jd driver grab/gojek aja kl ya."
pos,@ikhsanfattah10 Gojek bang?
pos,"RT @gojekindonesia: Mau Bepergian Aman dan Nyaman? GoRide Solusinya, Yuk Download Aplikasi Gojek Sekarang"
pos,GUE LG DI GOJEK YE HANSOL JANGAN NGADI NGADI LOOOOO https://t.co/68gxztUk4q
pos,@yohanour Iyaaa ntar pesen gojek dulu huehue
neg,"@xb4jix Tapi ni tapii ku g merasa udh 20an masa ?? ini kl keluar rumah tu kek msh bocil gitu hahaha ?? kaga ada tampang dewasa2nya dah wkwk. Orang kl naik gojek aja suka ditanya, ""Sekolah dmn, dek?"" Ya Allah."
pos,@tubirfess seragamnya kek gojek
pos,Caibing km pulang y udh ak pesenin gojek??
pos,"baru ini naik gojek di anternya sm mba2 hueheue :"""
pos,@rujakbuahsegar Gojek ??????
pos,@nunataeby Mangat bestie. Gue naik gojek cuma ongkos 24rebu alias 8km doang. Yok bisa yok
neg,"@YutaWatanabee @Dickypowerfull @gojekindonesia Bukan ampas lagi , TAPI SAMPAH !!! IT Gojek pun Otak nya di dengkul semua , Gak Layak diaebut IT"
pos,"RT @ladazaaaaaaaa: @txtlocalbrand @txtfrombrand iya om, soalnya cara pemanggilan pesanannya beda2.
Kalo Gojek dipanggil nama customer/drive…"
pos,@moviemenfes eh itu jacket gojek bukan sih ? atau grab ??
pos,abis tes cpns nunggu gojek https://t.co/D56jYkFFVr
neg,"@Dickypowerfull @gojekindonesia Pokok nya kata @gojekindonesia Laporan CS , mau benar mau salah , Pasti diilang CS paling Benar , karna Seluruh karyawan Gojek mah nganggep Mitra driver cuma SAPI PERAH , Gak Ngotak emang , TANPA MITRA DRIVER , Mustahil Kalian @gojekindonesia ada sampai DETIK ini"
neg,Nangis di kamar mandi sampe di belakang punggung abang gojek ??
pos,Terimakasih gojek
pos,mana luarannya kek jaket gojek plis lah
neg,"@homogen_us dulu pernah juga pulang sekolah mau naik gojek kan ya, pas bubaran bgt tuh kan sekolah aku kebanyakannya cewe. nah ceritanya dh mesen tuh, aku liat dlu ini motor apa gtu kan soalnya knpa nnt gabisa naiknya woii ??eh dptnya bukan yg metic, please smpe diteriakin nama aku maluu bgt"
pos,@ennuvolaa Berarti pilihannya jajan lewat gojek aja ?? lewat syopi gimana?
neg,"abis ngecek promo mcd di gojek, gila ludes semua -_-"
pos,anjay gua gausah takut telat... naik gojek 8k doang https://t.co/fufanm2rvd
pos,RT @gojekindonesia: Gojek selalu menjaga kehigienisan setiap orderan melalui proteksi extra!
neg,"@homogen_us dulu waktu baru masuk smk kan aku naik gojek dari rumah kesekolah, gatau kenpa rasanya pgn cpt² smpe aja gtu. udh duduknya paling ujung takut bgt perasaan, takut diculik sih lebih tepatnya ??????waktu itu pikiran smp masih kebawa, pdhlmah gagtu ?? smpe dzikir didlm hati masa????"
pos,@amelianNd_ Make gojek we
pos,"Kenyang tanpa masak ? #GoFood-in aja
Download #Gojek dan mulai #HidupTanpaBatas di Tomohon ##HidupTanpaBatas #GojekTomohon"
pos,"@sbyfess Aku sama dia tuh beda 2 tahun, pas itu aku lagi didepan halte nungguin gojek soalnya emang kendaraan lagi dibengkel. Sebenernya ga expect bakal gitu kejadiannya, aku ga pacaran sih cuma deket aja. Trus tiba tiba [sebagian cerita diarsip untuk kepentingan penerbitan]"
neg,"@convomfs Aku juga banget salah nyebut, misal turun dr gojek mau bilang ""udh ya pake gopay"" yg kesebut ""udh ya pak pake gojek"" . Trus klo pesen gofood pas ktemu abangnya nanya ""mba ayu yah"" aku malah jawabnha ""iya pak saya yg pesen gopay"" entah suka ketuker2 ????"
pos,"@FOOD_FESS Mending 2x order gak sih, kalo gojek kan bisa bareng"
pos,@rafgpv Yekalee abg gojek manggil byy :)
neg,"Maaass... Mas gojek, saya di seberang sini, berhentinya jangan kejauhan mas https://t.co/hbRyKvqU4r"
pos,"@txtlocalbrand @txtfrombrand iya om, soalnya cara pemanggilan pesanannya beda2.
Kalo Gojek dipanggil nama customer/driver
Kalo Grab itu dipanggil no pesanan
Kalo ShopeFood dipanggil no pesanan juga

Jadi biar ga ketuker??"
pos,Sayang gojek https://t.co/0mdDL9V1xe
pos,"HIII ada yang mau ikut preorder buat hari besok? ini donat homemade yaah, ada banyak varian rasa bisa mix loh! belum ada store karena masih small bisnis jadi pengiriman pake gojek/grab/ app help yaa???? ??dom pancoran, jakarta selatan guis https://t.co/v8epxBFnIb"
pos,@rachabuzz pake promo gojek yang RRQ ??
neg,ini tadi gue masih di atas motor abang gojek rasanya pengen loncat https://t.co/mueBlhpvZ3
neg,Ya allah gpp deh kalo emng gk bisa nonton konser Bangtan di indo tp tolong bgt ke iri dengkian hamba di kurangin ???? waktu mereka konser di sg aja saya iri dengki bgt sampe kek mendidih bgt ya allah rasanya pengen saya susul pake Gojek waktu itu
pos,"tapi akan ada yang gue kurangi/coret kayak biaya makan, transport, baju 

nyari yang affordable aja bun. nyari makanan yang murah meriah, transport pake krl lanjut gojek saja. beli baju ga perlu"
pos,gojek lebih murah dari grab ternyata baru tau??
neg,MALU SALAH NAIK GOJEK ??
pos,"@ryuijini ️️ ️️

Voucher GOJEK 

GoFood 30% minbel 25k 

?? 2k/voc
?? belum gofood plus 
?? ada saldo gopay
?? bisa payment pakai selain gopay
?? bisa cek harga dulu 
 
️️ ️️ ️️ ️️ https://t.co/SgDdhdya0b"
pos,"@taufanbachtiar kalo udah member gold kan ada gratis ongkir wkwk, pake gojek diskon 5rebu, tokonya gw beli dimana mana yg ready aja, coba aja lovepet"
pos,@convomfs Besok besok ngechatnya di gojek aja nder
neg,CS gojek adalah cs yang paling g guna
pos,kalian pernah ga lg naik gojek trs nangis
pos,Ada ga sih gojek seganteng wonu ?? https://t.co/IOflOmlwFt
pos,Caranya subscribe voucher di gojek gimana sih? Biar dapet voucher GO-RIDE
pos,cari kang gojek kaya gini dimana https://t.co/rYQn25yNhf
neg,"@Dickypowerfull @gojekindonesia Dan untuk kawan kawan yang belum tau penderitaan driver mau gojek atau gocarnya, kita dituntut dengan amat sangat sempurna hal ini terlhat Di postingan ssan level bahwa kita dalam 1 bulan harus mendapatkan PPR tinggi,sangat tinggi sampai bisa dianggap sempurna"
pos,"@00H0SHI wkwkkwkw, hoshi udah kayak abang gojek"
neg,"@taro_milk_tae22 Hai Kak, kami mohon maaf atas ketidaknyamanannya. Terkait dengan voucher diberikan kepada pelanggan terpilih yang beruntung dan untuk promo yang sedang berlaku bisa cek melalui link di https://t.co/MveCkDvNAH ya. Terima kasih^yni"
pos,"@vIaneige Bbrp resto di gojek yg minbel 80 disc 50-60 dan bisa dicombo voc tempel 80/25:
Janji Jiwa
Mangkokku
Upnormal
Gildak
Dailybox
Kitamura
Pocchajang
Street boba
The people’s cafe Ismaya
Djournal coffee
Tokyo Belly
Kopi Soe
Traffic bun"
pos,"@heyhabil Biasanya yg nomornya berurutan gt dari Gojek, tapi ga tau jugaa. Habil bisa cek pk Getcontact/Truecaller coba."
neg,iya wktu fto kelas di jonas pesen gojek dri sana smpe depan rumah gak bayar anjir gw kaget https://t.co/CvFDoUw96O
neg,ini kalau ada gojek yang kaya wonwoo tiap hari gua gojek deh
pos,@vphrodlte lagi nunggu gojek
pos,@paniniPNG pulang dijemput gojek ato gimana
pos,"W-T-S ..

Voucher gofood & goride

GoFood (9 voc)
- Diskon 30%
- Diskon max. 30.000
- Minimal belanja 25.000
- Exp. 24 Okt
?? 3k/ea

GoRide (10 voc)
- Diskon 3.000
- Exp. 24 Okt
?? 2k/ea

Jual vocer gojek murah minbel 25 disc discount #zonauang #zonajajan https://t.co/tPvd17eBNY"
pos,@armyfess_ alhamdulillah dapet walaupun nge gojek smpe mas ny nyuruh cancel saking antrinya ??
pos,"️️ ️️

Voucher GOJEK 

GoFood 30% minbel 25k 

?? 2k/voc
?? belum gofood plus
?? ada saldo gopay
?? bisa payment pakai selain gopay
?? bisa cek harga dulu 

#zonauang 
️️ ️️ ️️ ️️ https://t.co/SgDdhdya0b"
pos,"Bedon gojek pake nama depan, pesen di kang kue pake nama belakang jajajajajajajajaja"
pos,Gojek w dateng https://t.co/LQY9w8Kzjc
neg,"@ameliarinirini @gojekindonesia @ameliarinirini mbak maaf tadi saya search tentang gojek, kejadiannya persis sama saya tadi sore mbak, mau tanya apa uangnya mbak bisa balik ya? Saya lagi gugup banget soalnya yang masuk banyak?? makasih kalau berkenan jawab mbak"
pos,"Cape banget ngejar, pake gojek aja lacchh"
neg,"@amyourss_ Iyaa beb sering dipanggil ibu sama babang gojek atau orng""kalau aku beli diwarung ??"
pos,"RT @pevicapearce: ready voc gojek
gaada gopaynya

fee 2k/voc
#zonauang️ #zonaba #zonaBU #zonacuan https://t.co/uRuJzPYrbf"
pos,@warungkertas aku adanya renjun boom/gojek
neg,Jauh banget ya rumah w ternyata sampe harga ongkir gojek hampir sama kayak harga makanan yg w beli??
pos,@musaaang pantesan bahkan pas jam jumatan td antrian abang gojek di janji jiwa banyak bener
pos,"Paksi menjelaskan, bahwa dampak ekonomi dari keseluruhan Gojek menyumbang Rp 96 triliun. Sementara GoTo financial sebesar Rp 23 triliun. “Angka itu dasarnya adalah dampak dari keseluruhan ekosistem Gojek sendiri, yaitu Rp 96 triliun, lalu Go To Financial juga ditambahkan."
pos,@KimJeni kokkk jalannn.. gak pesen gojek aja #.
pos,"Wakil Kepala LD FEB UI, Paksi C.K Walandouw mengatakan, berdasarkan hasil riset yang melibatkan 47.218 responden yang tersebar di 21 kota di Indonesia, Gojek telah memberikan kontribusi sebesar Rp 249 triliun pada perekonomian Indonesia di tahun 2020."
neg,"Menyesal plg naik gojek, pdhl bisa menghemat 15k klo nunggu abi plg ??"
neg,org org dpet promo gojek drmn si kok aku ga dapet samsek
neg,"@Dickypowerfull @gojekindonesia Mas, yg perlu anda ingat yah... ""gojek adalah aplikasi bisnis, yg intinya profit"".. jd meskipun mitra ada apa2 d lapangan asal gak ngaruh sama aplikator, masalah itu akan d jawab template oleh robot.. kecil kemungkinan banding soal rating/performa ????"
neg,Aku drtd open close gojek gajadi-jadi mau makan
neg,@Ikam_Al_malik @Haekal_Sy @Renza_2007 @DiwanBayu @BenedriAbit @nawa_N27 @Rendy36923814 @FaisalDB99 @Putra7846555688 @Endyperatama @permanandri1 @revan_ardito @semua_tak_guna @ayonembem @Rayhansah2 @MirzaGulam19 Ikam mo jga ntar kirim lewat Gojek ??????
pos,"@ZOO_FESS Gatau sih karena kalo urgent bgt enaknya ke vet langsung, nanti beli obatnya udah tersambung sama apotek yg bekerja sama dengan halodoc dan gojek"
pos,"pengapian genah amann, suwun jek gojek @gojekindonesia https://t.co/2Y7vhyZPSP"
pos,"ready voc gojek
gaada gopaynya

fee 2k/voc
#zonauang️ #zonaba #zonaBU #zonacuan https://t.co/uRuJzPYrbf"
pos,"@INABadminton Salfok Sarah, panggilan alisanya Gojek ?? Semangat ya adik2. Semoga sukses ❤"
pos,@wummbii iyas cek cobaa d gojek adaa
pos,jangan hujannn kasian abang gojek nya??
neg,"@dhegichi Hai Kak Vichie, mohon maaf sebelumnya. Untuk informasi atau kendala terkait Mitra Usaha Gojek, silakan sampaikan melalui email di mitrausaha@gojek.com atau melalui sambungan telepon di 1500-171 ya. Terima kasih^ygb"
neg,heh kok apk gojek w ga da?
neg,"@kompascom Lah kok sama tapi anehnya ktp dan foto selfie ada, apakah ini efek karena ikut paylater di gojek dan shopee"
neg,Cuman pas mau berangkat gojek nya sok tau arah jadi deh tersesat??
pos,@DianOnno @newsplatter Terus babang gojek kalo mau nanya lokasi tus le jus gimana ya? :(
pos,"RT @nastidenpasar: Happy Friday semeton! 

Siang ini ga sepanas kemarin deh kayanya, karna agak mendung ☁️ tp semoga ga ujan yiaaaa.. kasia…"
pos,@bertanyarl Tiramisu frappuccino baru sekali minum sbux itupun karna ada promo di gojek:) tapi enak lah mayan
pos,"Congrats @plufybunnys 

Dm gue yaa, alamat sama mau gojek apa buat mam pas nonton final???? https://t.co/FY1SjMJg83"
neg,"@markncitty kalo gitu hati"", bilangin abang gojek biar gak ngebut"
pos,"@armyfess_ Aku dapet wkwk
Awalnya gue bilang kan di twitt dah beli nya besok aja teman2 krna hari ini rame banget 

Trus jam 3 / 4 sore gue iseng ke mcd deket rumah.. Eh ternyata sepi, ga ada gojek dll wkwk ada antrian tpi wajar gitu ga rame kek semut
Alhamdulillah wkwk"
pos,RT @InfoKomputer: Ekosistem Gojek dan GoTo sumbang Rp249 triliun ke PDB Indonesia - https://t.co/QauonvTgQ3 https://t.co/4wphmGcsWN
pos,Ekosistem Gojek dan GoTo sumbang Rp249 triliun ke PDB Indonesia - https://t.co/QauonvTgQ3 https://t.co/4wphmGcsWN
neg,tega bgt si kamu padahal aku langganan dari pas gojek baru ada di indo?????? masa iya voc biasa aja gada samsek... tega @gojekindonesia https://t.co/dtDQFU2QrT
neg,anying gue lupa mau mesen gojek gegara liat wooyoung
pos,@pocoyours gojek ke Bogor bs gk
neg,"Ini gojek gembel, jauh amat dapet driver nya ??. Udah gliyeng keringat dingin ini"
pos,"@baksoobin @bubblejoobs @FOOD_FESS Mau tanya, kl di gojek potongan diskon sampai gede gitu hrs pake gopay ya? Gabisa tunai?"
pos,@juyooniee WKWKWKWK ngebayangin gojek nya kok ada dua yg nyaut
pos,@moviemenfes Jaketnya kek jaket gojek ??
pos,"terima kasih kpd mba-mba victory yg mau nungguin aku update aplikasi gojek (lama bgt installnya..) krn gopayku di-declined :,).. jujur td mau nangis ko di-declined, trnyta blm update aplikasinya haha :,)"
neg,"aku curhat -rek
juembeeeeeekkk aku,  meh disrempet mbak"" nang dalan kedungdoro.. de e nang ngarepku sebelah kanan, moro"" motong nang kiri paling kiri sampe hampir nyrempet aku dan pak gojek sebelahku ?? pas pak gojeke kaget, reflek ngomong banter ""spione mbak"". dan  (cont..)"
pos,@televese @Ladusngg @topexxxxxx Andes rapopo aku tak numpak gojek
neg,pls kenapa gue sering bgt ngantuk di gojek
neg,"RT @Dennysiregar7: Coba tanya deh Gojek atau Tokped, sudah untung belum mereka ? Belum. Masih rugi.

Tapi kenapa kok malah banyak yg invest…"
neg,@homogen_us Pengalaman unik pas naik transportasi publik ?? gopoh ketinggalan gegara kang gojek nyetir lelet trs pas smpe stasiun untung ga ketinggalan itu kereta dibantu bpk tiketing sampe bilang ke masinis “sek hee mbak cepet mbak ayo mbak” isin malu sampe denyut nadi diliatin woylahh??
neg,Yahh... Akun gojek gue lagi bau. Nggak dapet diskonan akun.
pos,@cizzcakee jodohku berawal dari akun gojek cus bikin ftv haha
neg,"@j4scruby Itu di notip abang gojek nya juga chat, tpi loading mulu??"
pos,"@jembermfs Di gojek ada dee, dulu di pujas kalimantan enak tapi sayangnya dah tutup"
pos,terimakasiii gojek??
pos,"td kan interview naik gojek, si aa nya gapake baju gojek baju biasa gitu terus seumuran sm aku, asa dianterin sm pcr gtoh bukan sm gojek????????"
pos,@hunnyktae gojek beb
pos,@tinypaypie_ Aku juga pernah gini..tiba² abg gojek nya udh dtng aja??
neg,"Andai Gopay di pisah dari Gojek
Karna di sebagian daerah Gojek belum bisa beefungsi..."
pos,"@kttndst_ @FWBESS gapapa teh, helm gojek ada visornya"
pos,@suhtisna YA AKU GOJEK KE TEMPATMU AND VICE VERSA
pos,"Sisa satu lagi yukk

Promo voucher gojek goride gocar https://t.co/TCfoYgOaBV"
pos,@koko_dhoni Ora. Le mbayar nganggo paylater gojek
pos,RT @gabriela_henny4: Bukalapak IPO?! Gojek sama Tokopedia merger?! Pada keren-keren amat dah e-commerce di Indonesia sekarang! Haiii semua…
pos,@suhtisna MOM GOJEK GOJEK AN MAU GA
neg,"@VPriharyadi Saya search di twitter ini udah banyak komplenan sejenis, saya juga sudah twit tapi tidak ada respon baik dari pihak gojek untuk menjawab atau mengatasi hal ini, yang pertanyaannya darimana org tersebut bisa mendapatkan data pribadi kita untuk menipu, ada apa di sistem gojek?"
pos,"RT @Jaeyong71: [ Help RT] WTS
- RENJUN GOJEK (BOOM) & RENJUN AR SELCA
?? : 210k (pair, maaf ga jual satuan)
Bisa keep event, incl packing ✅…"
neg,@pinkeuwol Siti sarah masa panggilannya gojek ??
neg,Untuk brand besar seperti gopay sama gojek buruk banget sih buat csnya yang super lemot
neg,"RT @kawaiitebayo: Anjirr, ducati buat gojek ??"
pos,@yournangel mau dong kak angel?? ada di gojek gk kak?
pos,"[ Help RT] WTS
- RENJUN GOJEK (BOOM) & RENJUN AR SELCA
?? : 210k (pair, maaf ga jual satuan)
Bisa keep event, incl packing ✅
T. Wts wtb https://t.co/REWYxUjzsz"
neg,"Pas lagi promo aja dsni ndada gojek, asw"
pos,Yq kaka2 dari gojek dana lazada???? semoga ak bisa jadi penerus aamiin! https://t.co/TR0fQ339RE
pos,"bolak-balik buka gojek ni.  
#teruntuktemansejiwa https://t.co/BKEKMYngNx"
pos,"RT @recehtapisayng: Admin @gojekindonesia pasti anak meme xixixixi, bismillah dpt saham gojek https://t.co/FSbiqqFnPb"
pos,Cubanget kek gojek https://t.co/AOdjaAAxRw
pos,"@indomyfess 4. Transport (gojek dll dari Tangsel) siapin aja: 1JT
5. Beli merchandise yg di tempat takut pengen ?? siapin aja: 2 JT
6. Shopping baju siapin aja: 1 JT

Total: 4+1,2+1+2+1 = 10,2 JT 
Dibulatkan buat jaga2 
Minimal bawa 11 JT

Tergantung konser dimana dulu dan dari mana kalian"
pos,"Neobank mendukung pembayaran bbg VA yaitu akulaku, shopee, dana, gojek, tokopedia, bukalapak, lazada, blibli, https://t.co/VTMhBScpgx, OVO, dan LinkAja. Bebas biaya admin!
Ktk kode referal 8952H2 saat mendaftar dan dapatkan 18rb rupiah langsung jg kupon experience 10jt rupiah. https://t.co/ietVaK0hBm"
pos,@DDaevenna Gojek ilahh
pos,@tubatu_5 ini gojek atau grab?
pos,@90sbitc Sesekali sihh soalnya kalo ntar gojek dapet yang sepeda pake rantai takutnya nyangkut :(
neg,@FOOD_FESS Males dah gojek w mah ga pernah ada promo kek gini pdhl gopaynya ada banyak ??
neg,"@Dickypowerfull Moal ditanggap Mang, pokona mah penumpang maha benar, da tara kroscek ka driver si gojek mah"
neg,Listen. I really appreciate the effort when abang gojek trying to make a conversation but bang ayolah.. kita sama sama pake masker dan helm.. kita ngobrol ga ada yg nyambung ??????????????
pos,"@dianpertiiw Kakk punten jb2. dm nya gimana ya? Soalnya ini jwbn ke aku di email, laporan gojek, sama dm sama semuaaa. Katanya aktivitas mencurigakan."
neg,Kenapa helm abang gojek pd gede semua. Apa kepala gua yang kekecilan yh
neg,pen beli sate itu tp dia gaada di grab sm gojek hhhh sialan andai aku bisa bawa kendaraan??
pos,@cutvely kak @wzbubble masih ada promo gojek gaa kak?
neg,@hyutnji heh gojek kok voucher nya sekarang makin dikit???
pos,"pgn gojek buat ngerayain enha menang,, enaknya apa yaa????"
pos,"@151102SJY Halo Kak, aku open verif all apk yaaa intip yuk☺️

- Mastip 17 Desember 2021 -

Twitter : 
- Verif Sehat : 2.000
- Verif Unlock : 3.000
- Verif Create : 3.000
- Verif Khusus : 6.000
Telegram: 2.000
Gmail: 800
Yahoo/Hotmail: 500
Gojek/Spay : 1.500
Others: 1.000"
pos,"@ProfChemistt Njirr, di sby, chat lewat gojek aja"
pos,"Antari Jaya Negara Buka Workshop Digital Marketing Bagi IKM/UKM Denpasar
 #Denpasar #digitalmarketing #GOJEK #Grab #IKM #UKM #UMKM @denpasarkota

https://t.co/GgkcB9bh4T https://t.co/iivk9KjCFX"
pos,RT @nnisaa21: makasih gojek karna selalu menyejahterakan anak kos https://t.co/e6cQrxDIRg
neg,"@armyfess_ Ngerasain dong gimana deg²an nya pas lagi war, karena banyak army yg dicancel abang gojek nya?? https://t.co/cJ4ipjUuxc"
pos,Gilaa guaa dari cimahpar ke cikarettt naek gojek NANGIS BANGETTTTT??
pos,"Tapi tenang, gojek gua handal jadi bisa nyerepet sana nyerepet sini dengan aman sentosa jaya huha"
pos,@peacheshyunie @citizenstores Rj gojek brp kak
neg,"@gojekindonesia halo, saya mau menghapus akun gojek saya kok gabisa? Saya sudah hubungi cs akan tetapi ketentuannya data pribadi yang saya upload ke gojek tidak bisa dihapus. Terus data saya mau diapain kalau gabisa dihapus?"
pos,"need nokos buat verif gojek dong, sebut fee. yg on dari pagi #zonauang"
pos,"Bismillah signing new project ??
Klien ini keren banget deh, SPK nya dianter ke rumah by Gojek. Trus nanti dijemput lg by Gojek. Dan semuanya 3 rangkap sudah dimaterai. Aku gak perlu keluar uang sepeserpun dan gak perlu capek² ??????
Alhamdulillah, semoga lancar dan berkah. https://t.co/U9ye70EGur"
pos,@loeyxzhan01127 Barang malah lewat gojek ????
neg,kalian pernah gasi merasa bersalah krn ga sengaja nganggurin chat gojek :(
pos,@luculucuaaan SobatSambat aja
pos,@PIXIEXCHERRIES @convomfs w aduin kang gojek si pak ramadan
neg,ya Allah aku dibilang kek bch sd yg baru pulang sklh trs nyasar nunggu gojek didpn kntr??????
neg,@armyfess_ dapet dong hampir satu jam nunggu mang gojek
pos,"2 hr order traffic bun gretong tong tong! Tiap akun beda2 ya. Btw thanks gojek, aku padamu lope lope! #racunbelanja #promogojek #trafficbun https://t.co/OlBjL4IRI2"
pos,"dvd mots uda sampe, otw gojek~ https://t.co/j8l46wuaCu"
pos,@CTUIIY beli rambut gojek aja
pos,"Makan tanpa masak ? #GoFood-in Aja Download #Gojek sekarang, nikmati #HidupTanpaBatas bersama #GojekTomohon"
neg,"Ibu gue nyangka gue dilariin mamang gojek grgr nggak ngehubungin mau pulang, sampe di-telponin gini HERAN BANGET https://t.co/bzda9cmvJj"
pos,"Gue mesen sebanyak itu cuma bayar 40rb masaa, gojek gilaa si diskonnya 130rb ????"
neg,"bingung gua. pake alamat yang biasa gua pake di gojek atau grab itu beda bgt sama shopee. pake titik saat ini bener, pas orderan dibuat eh titiknya jadi beda"
pos,"@rawatjalaaaaan Kirim lewat gojek,,tinggal tulis alamat"
pos,"RT @kompascom: Seorang pencuri di Sidoarjo, Jawa Timur mengembalikan sebagian barang yang dicuri kepada pemiliknya melalui layanan aplikasi…"
neg,gojek ngentottttt gapernah gue semarah ini sampe cancel depan muka dia anjg
